Comment,Designator,Footprint,LCSC
10nF,"C1,C2",C0402,C15195
0402WGF1000TCE,"R5,R6,R7,R8",R0402,C25076
0402WGF1002TCE,"R1,R10,R11,R2,R3,R4,R9",R0402,C25744
95-21SURC_S530-A3_TR10,"U29,U30,U31,U32",LED-SMD_L2.1-W2.0-RD,C2936535
PICO,U27,COMM-SMD_L51.0-W21.0-P2.54_SC0916,C7203002
1N4148W_C81598,"U1,U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U28,U3,U4,U5,U6,U7,U8,U9",SOD-123F_L2.7-W1.6-LS3.8-RD,C81598
SW_SPST,SW27,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW28,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW20,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW16,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW24,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW9,SW_Cherry_MX_PCB_1.00u,
RotaryEncoder,SW25,RotaryEncoder_Bourns_Vertical_PEC12R-3xxxF-Nxxxx,
SW_SPST,SW15,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW2,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW7,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW11,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW8,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW12,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW1,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW17,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW10,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW22,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW14,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW6,SW_Cherry_MX_PCB_1.00u,
Conn_01x08_Pin,J2,Waveshare OLED 1.5in,
SW_SPST,SW21,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW26,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW4,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW19,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW5,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW23,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW13,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW3,SW_Cherry_MX_PCB_1.00u,
SW_SPST,SW18,SW_Cherry_MX_PCB_1.00u,
