Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C0402,54.318915,-111.893,0.0,top
C2,10nF,C0402,57.112915,-111.893,180.0,top
J2,Conn_01x08_Pin,Waveshare OLED 1.5in,177.82,-73.66,0.0,bottom
R1,0402WGF1002TCE,R0402,53.087013,-113.163,0.0,top
R2,0402WGF1002TCE,R0402,58.270647,-113.163,180.0,top
R3,0402WGF1002TCE,R0402,53.087013,-110.623,180.0,top
R4,0402WGF1002TCE,R0402,58.270647,-110.623,0.0,top
R5,0402WGF1000TCE,R0402,58.86705,-66.548,90.0,top
R6,0402WGF1000TCE,R0402,58.674,-76.529183,90.0,top
R7,0402WGF1000TCE,R0402,58.674,-86.689183,90.0,top
R8,0402WGF1000TCE,R0402,58.674,-96.952817,90.0,top
R9,0402WGF1002TCE,R0402,237.49,-99.746817,90.0,top
R10,0402WGF1002TCE,R0402,237.49,-120.066817,90.0,top
R11,0402WGF1002TCE,R0402,252.043183,-127.508,0.0,top
SW1,SW_SPST,SW_Cherry_MX_PCB_1.00u,86.995,-103.505,0.0,bottom
SW2,SW_SPST,SW_Cherry_MX_PCB_1.00u,86.995,-123.825,0.0,bottom
SW3,SW_SPST,SW_Cherry_MX_PCB_1.00u,86.995,-144.145,0.0,bottom
SW4,SW_SPST,SW_Cherry_MX_PCB_1.00u,107.315,-103.505,0.0,bottom
SW5,SW_SPST,SW_Cherry_MX_PCB_1.00u,107.315,-123.825,0.0,bottom
SW6,SW_SPST,SW_Cherry_MX_PCB_1.00u,107.315,-144.145,0.0,bottom
SW7,SW_SPST,SW_Cherry_MX_PCB_1.00u,127.635,-103.505,0.0,bottom
SW8,SW_SPST,SW_Cherry_MX_PCB_1.00u,127.635,-123.825,0.0,bottom
SW9,SW_SPST,SW_Cherry_MX_PCB_1.00u,127.635,-144.145,0.0,bottom
SW10,SW_SPST,SW_Cherry_MX_PCB_1.00u,147.955,-103.505,0.0,bottom
SW11,SW_SPST,SW_Cherry_MX_PCB_1.00u,147.955,-123.825,0.0,bottom
SW12,SW_SPST,SW_Cherry_MX_PCB_1.00u,147.955,-144.145,0.0,bottom
SW13,SW_SPST,SW_Cherry_MX_PCB_1.00u,168.275,-103.505,0.0,bottom
SW14,SW_SPST,SW_Cherry_MX_PCB_1.00u,168.275,-123.825,0.0,bottom
SW15,SW_SPST,SW_Cherry_MX_PCB_1.00u,168.275,-144.145,0.0,bottom
SW16,SW_SPST,SW_Cherry_MX_PCB_1.00u,188.595,-103.505,0.0,bottom
