Designator,Footprint,Quantity,Value,LCSC Part #
3.3V1,TestPoint_Pad_2.0x2.0mm,1,3.3V,
ADC_0,TestPoint_Pad_2.0x2.0mm,1,ADC_0,
ADC_1,TestPoint_Pad_2.0x2.0mm,1,ADC_1,
ADC_2,TestPoint_Pad_2.0x2.0mm,1,ADC_2,
ADC_3,TestPoint_Pad_2.0x2.0mm,1,ADC_3,
"C1, C2, C3, C4",0402,4,10n,C15195
"C10, C23, C24, C8",0402,4,1u,C52923
"C11, C12, C13, C14, C15, C16, C22, C25, C5, C6, C7, C9",0402,12,100n,
"C17, C18",0402,2,15p,
"C19, C20, C21",CP_EIA-3216-10_Kemet-I,3,10u,C7171
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D4, D5, D6, D7, D8, D9",LED_WS2812B-2020_PLCC4_2.0x2.0mm,33,WS2812B-2020,
GND1,TestPoint_Pad_2.0x2.0mm,1,GND,
"H1, H2, H22, H3, H4, H5",MountingHole_3.2mm_M3,6,MountingHole,
"R1, R10, R11, R18, R2, R20, R21, R22, R3, R4, R5, R6, R7, R8, R9",0402,15,10k,C25744
"R12, R13, R23",0402,3,27,
"R15, R16",0402,2,1k,
"R17, R19",0402,2,5.1k,
"U1, U10, U11, U12, U13, U14, U15, U16, U17, U18, U19, U2, U20, U21, U22, U23, U24, U25, U26, U28, U3, U4, U5, U6, U7, U8, U9",D_SOD-123,27,1N4148W_C81598,C81598
U27,SOT-353_L2.1-W1.3-P0.65-LS2.3-BR,1,"74LVC1G17GW,125_C426705",C426705
U29,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3_3,C6186
U30,RP2040-QFN-56,1,RP2040,C2040
U31,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C_16PIN_2MD(073),C2765186
U32,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
"U33, U34",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,ABM8-272-T3_C20625731,C20625731
