JLCPCB Part,Description
C81598,75V 400mW Single 1V@50mA 4ns 150mA SOD-123  Switching Diode ROHS
C307331,50V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C15195,50V 10nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS
C25744,62.5mW Thick Film Resistors ±100ppm/℃ ±1% 10kΩ 0402  Chip Resistor - Surface Mount ROHS
C7203002,Raspberry Pi ROHS
C273642,8 2V~6V 1 串行至并行或串行 TSSOP-16  Shifting Register ROHS
C134120,8 3V~18V 1 ParallelorSerialtoSerial SOP-16  Shifting Register ROHS
C2290,White light 0603  Light Emitting Diodes (LED) ROHS
C25076,62.5mW Thick Film Resistors ±1% ±200ppm/℃ 100Ω 0402  Chip Resistor - Surface Mount ROHS
C2936535,600mcd Colorless transparence Counterpost -40℃~+85℃ 624nm Orange-red 25° 60mW SMD  Light Emitting Diodes (LED) ROHS
